tweet_id,favorite_count,retweet_count
851464819735769094,24268,7049
851224888060895234,20707,5718
850753642995093505,30953,9139
850380195714523136,13128,2616
850333567704068097,3471,331
850145622816686080,16393,3803
850019790995546112,20510,4877
849776966551130114,30624,7617
849412302885593088,15940,3166
849336543269576704,11468,1907
849051919805034497,42609,8506
848690551926992896,25338,4338
848324959059550208,24916,4626
848213670039564288,8247,737
848212111729840128,16441,3066
847962785489326080,23687,5120
847842811428974592,5490,1339
847617282490613760,7045,419
847606175596138505,18919,3438
847251039262605312,20662,4322
847157206088847362,20095,5914
847116187444137987,21626,3208
846874817362120707,20287,3950
846514051647705089,45066,11672
846505985330044928,14241,3088
846153765933735936,31997,9131
846139713627017216,31306,10079
846042936437604353,16161,2900
845812042753855489,29588,8795
845677943972139009,25450,4839
845397057150107648,7716,1823
845306882940190720,23614,5447
844979544864018432,13802,2587
844973813909606400,15294,3241
844580511645339650,16683,3167
844223788422217728,13816,2225
843981021012017153,15346,2981
843856843873095681,21749,4674
843604394117681152,17118,2776
843235543001513987,21837,6101
842846295480000512,15456,3681
842765311967449089,6852,1301
842535590457499648,18362,3554
842163532590374912,24831,5870
842115215311396866,14206,3076
841680585030541313,26097,7913
841439858740625411,12855,3745
841320156043304961,20097,5579
841314665196081154,16087,4749
841077006473256960,23235,5404
840698636975636481,178,2
840696689258311684,12479,991
840632337062862849,9143,1794
840370681858686976,16727,4628
840268004936019968,19606,5838
839990271299457024,13659,2324
839549326359670784,27987,7915
839239871831150596,27677,6654
838952994649550848,19990,4067
838921590096166913,11360,2102
838561493054533637,11128,1360
838476387338051585,22984,4880
838150277551247360,1705,338
838085839343206401,144,1
838083903487373313,17976,3214
837820167694528512,34833,8032
837482249356513284,3909,448
837471256429613056,13058,2323
837110210464448512,16375,2424
836989968035819520,13001,2334
836753516572119041,19698,4742
836677758902222849,12862,2268
836380477523124226,15067,3048
836260088725786625,21756,4392
836001077879255040,19500,4355
835574547218894849,18173,3690
835297930240217089,16804,3080
835264098648616962,7893,1738
835246439529840640,2147,73
835172783151792128,26732,5894
835152434251116546,22936,3095
834931633769889797,11062,1687
834786237630337024,21753,5617
834574053763584002,13975,2596
834458053273591808,9844,1722
834209720923721728,21089,4881
834167344700198914,16152,3747
834089966724603904,10272,2179
834086379323871233,13367,2259
833863086058651648,13703,2457
833826103416520705,18435,3856
833722901757046785,21237,3304
833479644947025920,15198,2105
833124694597443584,20635,4957
832998151111966721,13605,2268
832757312314028032,17245,3714
832682457690300417,12157,2999
832645525019123713,3001,540
832636094638288896,16231,2864
832397543355072512,12224,2273
832369877331693569,17592,3280
832273440279240704,11589,2399
832088576586297345,64,2
832032802820481025,18301,4796
831939777352105988,24575,6304
831926988323639298,349,34
831911600680497154,28335,6695
831670449226514432,10709,1865
831650051525054464,7343,1993
831552930092285952,9212,2369
831322785565769729,9472,1590
831315979191906304,6698,1152
831309418084069378,12036,2526
831262627380748289,12204,2104
830956169170665475,8163,1536
830583320585068544,68613,17287
830097400375152640,10098,3047
829861396166877184,12547,2013
829501995190984704,32590,10945
829449946868879360,10747,2090
829141528400556032,25100,7595
829011960981237760,54496,16806
828770345708580865,26264,6049
828708714936930305,37577,11570
828650029636317184,9771,1399
828409743546925057,6504,1197
828408677031882754,7892,1331
828381636999917570,12968,2283
828376505180889089,7587,1104
828372645993398273,12898,3035
828361771580813312,2261,176
828046555563323392,12088,2951
828011680017821696,10638,2215
827933404142436356,20666,5413
827653905312006145,15904,3098
827600520311402496,7632,971
827324948884643840,16288,3153
827199976799354881,10866,2311
826958653328592898,22174,5187
826848821049180160,37450,10525
826598799820865537,5256,263
826598365270007810,10332,2424
826476773533745153,18950,4349
826240494070030336,13661,2693
826204788643753985,5016,961
826115272272650244,16094,3238
825876512159186944,10747,1938
825829644528148480,13094,2572
825535076884762624,53766,17888
825147591692263424,18857,4704
825026590719483904,6521,1315
824775126675836928,15376,3648
824663926340194305,10396,1800
824325613288833024,12172,10859
824297048279236611,15536,4002
824025158776213504,4955,615
