tweet_id,favorite_count,retweet_count,source,retweeted_status,url
815736392542261248,10204,2360,Twitter for iPhone,Original tweet,https://t.co/gd9UlLOCQ0
815639385530101762,8525,1719,Twitter for iPhone,Original tweet,https://t.co/bLZuOh9sKy
815390420867969024,10753,3974,Twitter for iPhone,Original tweet,https://t.co/9njRxyUd5L
814986499976527872,7935,1337,Twitter for iPhone,Original tweet,https://t.co/01vpuRDXQ8
814638523311648768,11696,2820,Twitter for iPhone,Original tweet,https://t.co/0LdNjoiNbv
814578408554463233,0,6084,Twitter for iPhone,This is a retweet,This is a retweet
814530161257443328,8976,1937,Twitter for iPhone,Original tweet,https://t.co/IOdgfnSE9G
814153002265309185,29880,9058,Twitter for iPhone,Original tweet,https://t.co/YIJo7X7K9J
813944609378369540,0,3318,Twitter for iPhone,This is a retweet,This is a retweet
813910438903693312,9658,1953,Twitter for iPhone,Original tweet,https://t.co/z1VRj1cYZf
813812741911748608,37787,14597,Twitter for iPhone,Original tweet,https://t.co/2LqNkbHRgt
813800681631023104,8654,1838,Twitter for iPhone,Original tweet,https://t.co/OuaVvVkwJ1
813217897535406080,19392,7630,Twitter for iPhone,Original tweet,https://t.co/DVYIZOnO81
813202720496779264,9562,1880,Twitter for iPhone,Original tweet,https://t.co/cD967DjnIn
813187593374461952,20613,4560,Twitter for iPhone,Original tweet,https://t.co/rvSANEsQZJ
813172488309972993,9653,2007,Twitter for iPhone,Original tweet,https://t.co/bxGwkJa2kE
813157409116065792,8062,2313,Twitter for iPhone,Original tweet,https://t.co/hwhCbhCjnV
813142292504645637,8797,2477,Twitter for iPhone,Original tweet,https://t.co/KK4XQK9SPi
813130366689148928,4646,469,Twitter for iPhone,Original tweet,0
813127251579564032,12323,3264,Twitter for iPhone,Original tweet,https://t.co/BzITyGw3JA
813112105746448384,10720,2877,Twitter for iPhone,Original tweet,https://t.co/zfdaGZlweq
813096984823349248,10936,3783,Twitter for iPhone,Original tweet,https://t.co/soNL00XWVu
813081950185472002,10252,2890,Twitter for iPhone,Original tweet,https://t.co/PjulYEXTvg
